Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Freshwater,H3,2023-06-07T20:54:00Z,TMP_FW_H3_20230607_0800,0.015077,0.99843,0.019402,0.99982,0.77711,6.0611,1.5752,0.90511,0.58907,0.59572,0.13569,0.13151,0.13151,0.029523,0.022387,0.0087471,0.005413,0.67236,1.0414,0.19234,0.11192,0.60702,0.46173,2023-06-07
TMP,Freshwater,H3,2023-06-07T12:27:00Z,TMP_FW_H3_20230607_0800,0.015077,0.99843,0.019402,0.99982,0.77711,6.0611,1.5752,0.90511,0.58907,0.59572,0.13569,0.13151,0.13151,0.029523,0.022387,0.0087471,0.005413,0.67236,1.0414,0.19234,0.11192,0.60702,0.46173,2023-06-06
TMP,Freshwater,H6,2023-06-08T19:43:00Z,TMP_FW_H6_20230608,0.01455,0.99953,0.019321,0.9998,0.75304,5.7573,1.56,0.93223,0.57762,0.58394,0.25657,0.24881,0.24881,0.058611,0.044564,0.017482,0.010775,1.1408,1.9002,0.29461,0.15217,1.0201,0.83993,2023-06-07
TMP,Freshwater,H6,2023-06-17T16:34:00Z,TMP_FW_H6_20230617,0.015049,0.99929,0.019923,0.9998,0.75539,6.1078,1.5666,0.92913,0.59612,0.60498,0.29697,0.28773,0.28773,0.064566,0.048621,0.018433,0.011002,1.4155,2.3801,0.37269,0.1831,1.2745,1.0373000000000001,2023-06-14
TMP,Freshwater,H6,2023-07-10T14:25:00Z,TMP_FW_H6_20230710,0.014816,0.99949,0.019584,0.9998,0.75655,5.9481,1.5549,0.93151,0.58923,0.59024,0.39352,0.3816,0.3816,0.087398,0.066159,0.02557,0.015635,1.7121,2.8353,0.43861,0.21382,1.531,1.2528,2023-07-07
TMP,Freshwater,H6,2023-06-07T20:43:00Z,TMP_FW_H6_20230607_1600,0.014358,0.9993,0.018804,0.99985,0.76357,5.6167,1.5602,0.93219,0.57348,0.58535,0.2525,0.24485,0.24485,0.058834,0.044955,0.018058,0.01118,1.1347,1.9117,0.27882,0.15416,1.0199,0.8426,2023-06-07
TMP,Freshwater,H6,2023-06-07T12:15:00Z,TMP_FW_H6_20230607_1600,0.014358,0.9993,0.018804,0.99985,0.76357,5.6167,1.5602,0.93219,0.57348,0.58535,0.2525,0.24485,0.24485,0.058834,0.044955,0.018058,0.01118,1.1347,1.9117,0.27882,0.15416,1.0199,0.8426,2023-06-06
TMP,Freshwater,H6,2023-06-07T20:43:00Z,TMP_FW_H6_20230607_0800,0.014166,0.9996,0.018223,0.99989,0.77739,5.4398,1.5648,0.9336,0.57761,0.58266,0.28242,0.2741,0.2741,0.067524,0.051918,0.021546,0.013595,1.2438,2.078,0.30545,0.16689,1.1099,0.93747,2023-06-07
TMP,Freshwater,H6,2023-06-07T12:15:00Z,TMP_FW_H6_20230607_0800,0.014166,0.9996,0.018223,0.99989,0.77739,5.4398,1.5648,0.9336,0.57761,0.58266,0.28242,0.2741,0.2741,0.067524,0.051918,0.021546,0.013595,1.2438,2.078,0.30545,0.16689,1.1099,0.93747,2023-06-06
TMP,Freshwater,I5,2023-06-06T21:45:00Z,TMP_FW_I5_20230606,0.014001,0.99919,0.01785,0.9999,0.78436,5.2963,1.4732,0.93457,0.53639,0.54677,0.1686,0.16391,0.16391,0.041197,0.031834,0.013407,0.0085061,0.76122,1.3197,0.16582,0.093678,0.67724,0.56404,2023-06-05
