[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	6/21/2024 10:47:37 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:08:42 AM	3	3	NPOC	4.401	1.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:11:57 AM	3	4	NPOC	5.296	1.000	 	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:15:07 AM	3	5	NPOC	5.486	1.000	 	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:24:17 AM	4	1	NPOC	15.13	5.000	 	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:27:47 AM	4	2	NPOC	16.52	5.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:31:08 AM	4	3	NPOC	16.34	5.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:34:35 AM	4	4	NPOC	16.74	5.000	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:43:21 AM	5	1	NPOC	33.02	10.00	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:47:03 AM	5	2	NPOC	33.46	10.00	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 10:50:41 AM	5	3	NPOC	34.21	10.00	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 11:00:30 AM	6	1	NPOC	190.8	50.00	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 11:04:32 AM	6	2	NPOC	186.3	50.00	 	0	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 11:08:32 AM	6	3	NPOC	178.9	50.00	 	1	50	
