[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:57:23 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	1794A	Rainfall					1.402	0.6110	mg/L	38	8/8/2024 5:58:10 AM	
Unknown	NPOC/TN	1795A	Rainfall					2.314	1.214	mg/L	39	8/8/2024 6:18:51 AM	
Unknown	NPOC/TN	1796A	Rainfall					4.167	1.153	mg/L	40	8/8/2024 6:39:40 AM	
Unknown	NPOC/TN	1797A	Rainfall					6.135	1.004	mg/L	41	8/8/2024 6:57:13 AM	
Unknown	NPOC/TN	DI	Rainfall					-0.02689	0.07816	mg/L	0	8/8/2024 7:15:40 AM	
Unknown	NPOC/TN	Std Chk	Rainfall					29.29	2.602	mg/L	42	8/8/2024 7:45:42 AM	
Unknown	NPOC/TN	DI	Rainfall					0.06375	0.06973	mg/L	0	8/8/2024 8:03:38 AM	
Unknown	NPOC/TN	1798A	Rainfall					1.761	0.3895	mg/L	43	8/8/2024 8:29:54 AM	
Unknown	NPOC/TN	1799A	Rainfall					2.093	0.3888	mg/L	44	8/8/2024 8:55:47 AM	
Unknown	NPOC/TN	1800A	Rainfall					2.753	0.5611	mg/L	45	8/8/2024 9:22:47 AM	
Unknown	NPOC/TN	SI2024-2104	SERC Int Streams					0.1071	0.06403	mg/L	46	8/8/2024 9:46:19 AM	
Unknown	NPOC/TN	SI2024-2124	SERC Int Streams					14.66	2.555	mg/L	47	8/8/2024 10:16:01 AM	
Unknown	NPOC/TN	SRBP1_20240520	CWW					3.456	0.3731	mg/L	48	8/8/2024 11:16:03 AM	
Unknown	NPOC/TN	SRBP2_20240520	CWW					3.457	0.3590	mg/L	49	8/8/2024 11:42:49 AM	
Unknown	NPOC/TN	SRBP3_20240520	CWW					3.731	0.4077	mg/L	50	8/8/2024 12:09:29 PM	
Unknown	NPOC/TN	LEFDock_20240529	CWW					2.777	0.3758	mg/L	51	8/8/2024 12:33:12 PM	
Unknown	NPOC/TN	LEFDock_20240529 dup	CWW					2.807	0.3782	mg/L	52	8/8/2024 12:58:03 PM	
Unknown	NPOC/TN	DI	CWW					-0.09154	0.07286	mg/L	0	8/8/2024 1:19:49 PM	
Unknown	NPOC/TN	Std Chk	CWW					30.14	2.479	mg/L	53	8/8/2024 1:50:31 PM	
Unknown	NPOC/TN	DI	CWW					0.00544	0.06885	mg/L	0	8/8/2024 2:09:07 PM	
Unknown	NPOC/TN	DC_MPNCDock_20240520	CWW					4.290	0.3976	mg/L	54	8/8/2024 2:36:41 PM	
Unknown	NPOC/TN	RR5A_20240529	CWW					3.811	0.3299	mg/L	55	8/8/2024 3:03:02 PM	
Unknown	NPOC/TN	WR01_20240529	CWW					2.638	0.4526	mg/L	56	8/8/2024 3:53:52 PM	
Unknown	NPOC/TN	WR03_20240529	CWW					16.80	0.8282	mg/L	57	8/8/2024 4:16:09 PM	
Unknown	NPOC/TN	WR05_20240529	CWW					17.14	0.6809	mg/L	58	8/8/2024 4:44:12 PM	
Unknown	NPOC/TN	WR06_20240529	CWW					2.868	0.3580	mg/L	59	8/8/2024 5:11:33 PM	
Unknown	NPOC/TN	WR09_20240529	CWW					3.313	0.3485	mg/L	60	8/8/2024 5:37:43 PM	
Unknown	NPOC/TN	PX_HPD_SGE_20240606	CWW					3.613	0.4751	mg/L	61	8/8/2024 6:04:04 PM	
Unknown	NPOC/TN	PX_KLMidchannel_20240606	CWW					4.072	0.3394	mg/L	62	8/8/2024 6:30:26 PM	
Unknown	NPOC/TN	PX_LMMidchannel_20240606	CWW					14.95	0.4120	mg/L	63	8/8/2024 6:57:55 PM	
Unknown	NPOC/TN	DI	CWW					-0.1693	0.06403	mg/L	0	8/8/2024 7:19:10 PM	
Unknown	NPOC/TN	Std Chk	CWW					29.59	2.519	mg/L	64	8/8/2024 7:38:25 PM	
Unknown	NPOC/TN	DI	CWW					-0.07359	0.06508	mg/L	0	8/8/2024 8:01:42 PM	
Unknown	NPOC/TN	PX_SheridanPt_20240606	CWW					3.094	0.3582	mg/L	65	8/8/2024 8:28:23 PM	
Unknown	NPOC/TN	PX_HPMidchannel_20240606	CWW					3.236	0.3949	mg/L	66	8/8/2024 8:53:39 PM	
Unknown	NPOC/TN	peCheck	Untitled					0.3458	3.270	mg/L	67	8/8/2024 9:20:41 PM	
Unknown	NPOC/TN	20240807 BWP	Anacostia					4.854	0.7742	mg/L	68	8/8/2024 9:48:24 PM	
Unknown	NPOC/TN	20240807 LBC1	Anacostia					4.237	0.6332	mg/L	69	8/8/2024 10:08:25 PM	
Unknown	NPOC/TN	20240807 LB1A	Anacostia					3.611	0.6578	mg/L	70	8/8/2024 10:36:56 PM	
Unknown	NPOC/TN	20240807 LB2	Anacostia					3.021	0.4319	mg/L	71	8/8/2024 10:56:57 PM	
Unknown	NPOC/TN	20240807 NEB	Anacostia					4.095	0.6082	mg/L	72	8/8/2024 11:14:37 PM	
Unknown	NPOC/TN	20240807 NWB1	Anacostia					3.211	0.9939	mg/L	73	8/8/2024 11:41:51 PM	
Unknown	NPOC/TN	20240807 NWB1 dup	Anacostia					3.216	1.013	mg/L	74	8/9/2024 12:01:50 AM	
Unknown	NPOC/TN	DI	Anacostia					-0.1574	0.06403	mg/L	0	8/9/2024 12:20:38 AM	
Unknown	NPOC/TN	Std Chk	Anacostia					29.38	2.589	mg/L	75	8/9/2024 12:50:05 AM	
Unknown	NPOC/TN	DI	Anacostia					-0.08256	0.06515	mg/L	0	8/9/2024 1:11:46 AM	
Unknown	NPOC/TN	20240807 NWB2	Anacostia					3.346	0.6107	mg/L	76	8/9/2024 1:34:16 AM	
Unknown	NPOC/TN	20240807 NWB3	Anacostia					3.368	0.7573	mg/L	77	8/9/2024 1:58:56 AM	
Unknown	NPOC/TN	20240807 NWB4	Anacostia					2.816	0.5956	mg/L	78	8/9/2024 2:16:04 AM	
Unknown	NPOC/TN	20240807 PB1	Anacostia					3.291	0.3812	mg/L	79	8/9/2024 2:42:36 AM	
Unknown	NPOC/TN	20240807 QR1	Anacostia					2.696	1.198	mg/L	80	8/9/2024 3:09:14 AM	
Unknown	NPOC/TN	20240807 SC1	Anacostia					3.883	1.183	mg/L	81	8/9/2024 3:35:42 AM	
Unknown	NPOC/TN	20240807 SC2	Anacostia					3.115	0.8956	mg/L	82	8/9/2024 4:03:51 AM	
Unknown	NPOC/TN	20240807 SC3	Anacostia					2.917	1.348	mg/L	83	8/9/2024 4:29:34 AM	
Unknown	NPOC/TN	20240807 SC4	Anacostia					2.322	1.101	mg/L	84	8/9/2024 4:57:29 AM	
Unknown	NPOC/TN	20240807 SC4 dup	Anacostia					2.201	1.172	mg/L	85	8/9/2024 5:25:05 AM	
Unknown	NPOC/TN	DI	Untitled					-0.02542	0.06554	mg/L	0	8/9/2024 5:46:20 AM	
Unknown	NPOC/TN	Std Chk	Untitled					28.36	2.629	mg/L	86	8/9/2024 6:05:34 AM	
Unknown	NPOC/TN	DI	Untitled					0.06978	0.06976	mg/L	0	8/9/2024 6:28:44 AM	
Unknown	NPOC/TN	TMP_FW_I5_20240808	Untitled					28.77	4.368	mg/L	1	8/9/2024 6:58:39 AM	
Unknown	NPOC/TN	TMP_SW_B4_20240805	Untitled					10.80	0.6228	mg/L	2	8/9/2024 7:26:19 AM	
Unknown	NPOC/TN	TMP_SW_C3_20240802	Untitled					8.801	1.031	mg/L	3	8/9/2024 7:53:49 AM	
